Family	Name with authors (incl. infraspecific taxa if any)	ALA accepted name with authors	AKflora?	Comments (optional)	Literature
Asteraceae	Antennaria friesiana (Trautv.) E.Ekman subsp. beringensis V.V.Petrovsky	Antennaria friesiana (Trautv.) E.Ekman subsp. alaskana (Malte) Hult始	T		FNA 19; /
Asteraceae	Antennaria friesiana (Trautv.) E.Ekman subsp. compacta (Malte) Hult始	Antennaria alpina (L.) G.Gaertn.	T	Bayer 1993	Bayer 1993; Bayer, R. J.  1993.  A taxonomic revision of the genus Antennaria (Asteraceae: Inuleae: Gnaphaliinae) of Alaska and Yukon Territory, Northwestern North America.  Arctic and Alpine Research 25(2):150-159./
Asteraceae	Antennaria friesiana (Trautv.) E.Ekman subsp. friesiana 	Antennaria friesiana (Trautv.) E.Ekman subsp. friesiana 	T	AK taxon list	
Asteraceae	Antennaria friesiana (Trautv.) E.Ekman subsp. neoalaskana (A.E.Porsild) R.J.Bayer & Stebbins	Antennaria friesiana (Trautv.) E.Ekman subsp. neoalaskana (A.E.Porsild) R.J.Bayer & Stebbins	T	Bayer annos	
Asteraceae	Antennaria howellii Greene	Antennaria howellii Greene	F	Bayer 1993	
Asteraceae	Antennaria howellii Greene subsp. canadensis (Greene) R.J.Bayer	Antennaria howellii Greene subsp. canadensis (Greene) R.J.Bayer	F	Bayer 93	
Asteraceae	Antennaria howellii Greene subsp. howellii 	Antennaria howellii Greene subsp. howellii 	F	Bayer 1993	
Asteraceae	Antennaria incarnata A.E.Porsild	Antennaria rosea Greene subsp. confinis (Greene) R.J.Bayer	T	Bayer 1993	
Asteraceae	Antennaria isolepis Greene	Antennaria rosea Greene subsp. pulvinata (Greene) R.J.Bayer	T	Bayer 1993	
Asteraceae	Antennaria leuchippii Porsild	Antennaria rosea Greene subsp. confinis (Greene) R.J.Bayer	T	Bayer 1993	
Asteraceae	Antennaria media Greene	Antennaria media Greene	T	AK taxon list	
Asteraceae	Antennaria microphylla Rydb.	Antennaria microphylla Rydb.	T	Bayer 1993	
Asteraceae	Antennaria monocephala DC.	Antennaria monocephala DC.	F	AK taxon list	
Asteraceae	Antennaria monocephala DC. var. exilis (Greene) Hult始	Antennaria monocephala DC. subsp. monocephala 	T	Bayer 1993	
Asteraceae	Antennaria monocephala DC. var. latisquamea Hult始	Antennaria monocephala DC. subsp. monocephala 	T		FNA 19; /
Asteraceae	Antennaria monocephala DC. var. monocephala 	Antennaria monocephala DC. subsp. monocephala 	T	Bayer 1993	
Asteraceae	Antennaria monocephala DC. subsp. angustata (Greene) Hult始	Antennaria monocephala DC. subsp. angustata (Greene) Hult始	T	AK taxon list	
Asteraceae	Antennaria monocephala DC. subsp. monocephala 	Antennaria monocephala DC. subsp. monocephala 	T	AK taxon list	
Asteraceae	Antennaria monocephala DC. subsp. philonipha (A.E.Porsild) Hult始	Antennaria monocephala DC. subsp. monocephala 	T	AK taxon list	
Asteraceae	Antennaria neglecta Greene	Antennaria neglecta Greene	F	AK taxon list	
Asteraceae	Antennaria neglecta Greene subsp. howellii (Greene) Hult始	Antennaria howellii Greene subsp. howellii 	F	Bayer 1993	
Asteraceae	Antennaria nitida Greene	Antennaria microphylla Rydb.	T	Bayer 1993	
Asteraceae	Antennaria pallida E.E.Nelson	Antennaria alpina (L.) G.Gaertn.	T		FNA 19; /
Asteraceae	Antennaria philonipha A.E.Porsild	Antennaria monocephala DC. subsp. monocephala 	T	Porsild1939	
Asteraceae	Antennaria pulcherrima (Hook.) Greene	Antennaria pulcherrima (Hook.) Greene	F	AK taxon list	
